#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_20y,2016-02-05,0.000000,598,0,0,0,598,598,598
Swap_20y,2016-05-06,0.248634,162395,161787,0,0,687597,163214,163214
Swap_20y,2016-08-05,0.497268,223660,222857,0,0,947969,225922,225922
Swap_20y,2016-11-07,0.754098,321690,220821,0,0,1311805,326592,326592
Swap_20y,2017-02-06,1.003002,366189,264126,0,0,1501715,373594,373594
Swap_20y,2017-05-05,1.244098,339692,339556,0,0,1475827,348206,373594
Swap_20y,2017-08-07,1.501632,372021,372109,0,0,1563885,383279,383279
Swap_20y,2017-11-06,1.750947,435362,338452,0,0,1712601,450738,450738
Swap_20y,2018-02-05,2.000262,457523,362585,0,0,1890320,476006,476006
Swap_20y,2018-05-08,2.252317,423701,426170,0,0,1957608,443023,476006
Swap_20y,2018-08-06,2.498892,452642,456404,0,0,2027923,475600,476006
Swap_20y,2018-11-05,2.748207,513469,418696,0,0,2161540,542182,542182
Swap_20y,2019-02-05,3.000262,540069,444066,0,0,2247828,573124,573124
Swap_20y,2019-05-07,3.249577,492534,495006,0,0,2166629,525266,573124
Swap_20y,2019-08-05,3.496152,497113,503807,0,0,2263553,532744,573124
Swap_20y,2019-11-05,3.748207,541996,454238,0,0,2329287,583751,583751
Swap_20y,2020-02-05,4.000000,564622,475013,0,0,2557194,611162,611162
Swap_20y,2020-05-05,4.245902,518370,520913,0,0,2529198,563837,611162
Swap_20y,2020-08-05,4.497268,533560,538307,0,0,2507358,583254,611162
Swap_20y,2020-11-05,4.748634,567446,478267,0,0,2752203,623392,623392
Swap_20y,2021-02-05,5.000262,579645,493138,0,0,2726487,639971,639971
Swap_20y,2021-05-05,5.244098,523275,529386,0,0,2598964,580530,639971
Swap_20y,2021-08-05,5.496152,532445,540603,0,0,2637521,593659,639971
Swap_20y,2021-11-05,5.748207,559693,478851,0,0,2563362,627162,639971
Swap_20y,2022-02-07,6.005741,567255,487190,0,0,2592926,638886,639971
Swap_20y,2022-05-05,6.244098,513218,524603,0,0,2487023,580760,639971
Swap_20y,2022-08-05,6.496152,525267,538039,0,0,2496118,597368,639971
Swap_20y,2022-11-07,6.753687,559180,482955,0,0,2442699,639188,639971
Swap_20y,2023-02-06,7.003002,566476,493329,0,0,2772627,650732,650732
Swap_20y,2023-05-05,7.244098,509581,523773,0,0,2608606,588173,650732
Swap_20y,2023-08-07,7.501632,519572,532226,0,0,2594651,602769,650732
Swap_20y,2023-11-06,7.750947,551802,475643,0,0,2598209,643324,650732
Swap_20y,2024-02-05,8.000000,559530,486335,0,0,2702203,655559,655559
Swap_20y,2024-05-07,8.251366,503434,515435,0,0,2525396,592785,655559
Swap_20y,2024-08-05,8.497268,511185,524835,0,0,2598796,604855,655559
Swap_20y,2024-11-05,8.748634,539065,463349,0,0,2630812,641032,655559
Swap_20y,2025-02-05,9.000262,544621,470351,0,0,2586048,650876,655559
Swap_20y,2025-05-06,9.246837,488704,498436,0,0,2523276,586906,655559
Swap_20y,2025-08-05,9.496152,493381,504185,0,0,2441069,595453,655559
Swap_20y,2025-11-05,9.748207,515083,439922,0,0,2549947,624751,655559
Swap_20y,2026-02-05,10.000262,525417,447752,0,0,2684865,640472,655559
Swap_20y,2026-05-05,10.244098,459920,467230,0,0,2403115,563345,655559
Swap_20y,2026-08-05,10.496152,468221,477170,0,0,2520466,576383,655559
Swap_20y,2026-11-05,10.748207,481821,411292,0,0,2397651,596092,655559
Swap_20y,2027-02-05,11.000262,487798,417439,0,0,2418154,606506,655559
Swap_20y,2027-05-05,11.244098,425254,435566,0,0,2216869,531301,655559
Swap_20y,2027-08-05,11.496152,428508,440716,0,0,2262345,538045,655559
Swap_20y,2027-11-05,11.748207,448276,379345,0,0,2245234,565682,655559
Swap_20y,2028-02-07,12.005464,451299,384759,0,0,2242347,572409,655559
Swap_20y,2028-05-05,12.245902,388758,402039,0,0,2115503,495442,655559
Swap_20y,2028-08-07,12.502732,396770,407988,0,0,2163025,508235,655559
Swap_20y,2028-11-06,12.751366,409106,342601,0,0,2210612,526628,655559
Swap_20y,2029-02-05,13.000262,415245,348896,0,0,2206519,537174,655559
Swap_20y,2029-05-08,13.252317,354038,363128,0,0,1995996,460284,655559
Swap_20y,2029-08-06,13.498892,355922,367296,0,0,1947042,464995,655559
Swap_20y,2029-11-05,13.748207,369297,301758,0,0,1986983,484855,655559
Swap_20y,2030-02-05,14.000262,369933,303552,0,0,1974203,488118,655559
Swap_20y,2030-05-07,14.249577,307246,318897,0,0,1841967,407408,655559
Swap_20y,2030-08-05,14.496152,311373,322519,0,0,1810430,414899,655559
Swap_20y,2030-11-05,14.748207,321944,257145,0,0,1801622,431129,655559
Swap_20y,2031-02-05,15.000262,326804,261450,0,0,1840321,439826,655559
Swap_20y,2031-05-06,15.246837,262372,274255,0,0,1590197,354838,655559
Swap_20y,2031-08-05,15.496152,263918,276424,0,0,1510790,358694,655559
Swap_20y,2031-11-05,15.748207,270729,210597,0,0,1561707,369792,655559
