#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
Swap_20y,DiscountCurve/EUR/0/6M,Up,597.96,0.000000,#N/A,602.24,4.28
Swap_20y,DiscountCurve/EUR/1/1Y,Up,597.96,0.000000,#N/A,592.54,-5.42
Swap_20y,DiscountCurve/EUR/2/10Y,Up,597.96,0.000000,#N/A,592.99,-4.96
Swap_20y,DiscountCurve/EUR/3/15Y,Up,597.96,0.000000,#N/A,594.12,-3.84
Swap_20y,DiscountCurve/EUR/4/20Y,Up,597.96,0.000000,#N/A,525.86,-72.09
Swap_20y,DiscountCurve/EUR/0/6M,Down,597.96,0.000000,#N/A,593.67,-4.28
Swap_20y,DiscountCurve/EUR/1/1Y,Down,597.96,0.000000,#N/A,603.38,5.42
Swap_20y,DiscountCurve/EUR/2/10Y,Down,597.96,0.000000,#N/A,602.93,4.97
Swap_20y,DiscountCurve/EUR/3/15Y,Down,597.96,0.000000,#N/A,601.81,3.85
Swap_20y,DiscountCurve/EUR/4/20Y,Down,597.96,0.000000,#N/A,670.21,72.25
