#Key,Factor,BaseValue,ShiftSize
DiscountCurve/CHF/0,DiscountCurve/CHF/0/6M,-0.00939478,0.00010000
DiscountCurve/CHF/1,DiscountCurve/CHF/1/1Y,-0.00866391,0.00010000
DiscountCurve/CHF/2,DiscountCurve/CHF/2/2Y,-0.00830295,0.00010000
DiscountCurve/CHF/3,DiscountCurve/CHF/3/3Y,-0.00761635,0.00010000
DiscountCurve/CHF/4,DiscountCurve/CHF/4/5Y,-0.00590449,0.00010000
DiscountCurve/CHF/5,DiscountCurve/CHF/5/7Y,-0.00359898,0.00010000
DiscountCurve/CHF/6,DiscountCurve/CHF/6/10Y,-0.00156237,0.00010000
DiscountCurve/CHF/7,DiscountCurve/CHF/7/15Y,0.00027353,0.00010000
DiscountCurve/CHF/8,DiscountCurve/CHF/8/20Y,0.00158467,0.00010000
DiscountCurve/EUR/0,DiscountCurve/EUR/0/6M,-0.00259898,0.00010000
DiscountCurve/EUR/1,DiscountCurve/EUR/1/1Y,-0.00316143,0.00010000
DiscountCurve/EUR/2,DiscountCurve/EUR/2/2Y,-0.00350149,0.00010000
DiscountCurve/EUR/3,DiscountCurve/EUR/3/3Y,-0.00314065,0.00010000
DiscountCurve/EUR/4,DiscountCurve/EUR/4/5Y,-0.00178025,0.00010000
DiscountCurve/EUR/5,DiscountCurve/EUR/5/7Y,0.00050308,0.00010000
DiscountCurve/EUR/6,DiscountCurve/EUR/6/10Y,0.00398599,0.00010000
DiscountCurve/EUR/7,DiscountCurve/EUR/7/15Y,0.00765767,0.00010000
DiscountCurve/EUR/8,DiscountCurve/EUR/8/20Y,0.00930009,0.00010000
DiscountCurve/GBP/0,DiscountCurve/GBP/0/6M,0.00709485,0.00010000
DiscountCurve/GBP/1,DiscountCurve/GBP/1/1Y,0.00693542,0.00010000
DiscountCurve/GBP/2,DiscountCurve/GBP/2/2Y,0.00277146,0.00010000
DiscountCurve/GBP/3,DiscountCurve/GBP/3/3Y,0.00289487,0.00010000
DiscountCurve/GBP/4,DiscountCurve/GBP/4/5Y,0.00392221,0.00010000
DiscountCurve/GBP/5,DiscountCurve/GBP/5/7Y,0.00594424,0.00010000
DiscountCurve/GBP/6,DiscountCurve/GBP/6/10Y,0.00925481,0.00010000
DiscountCurve/GBP/7,DiscountCurve/GBP/7/15Y,0.01230856,0.00010000
DiscountCurve/GBP/8,DiscountCurve/GBP/8/20Y,0.01442100,0.00010000
DiscountCurve/JPY/0,DiscountCurve/JPY/0/6M,-0.00029457,0.00010000
DiscountCurve/JPY/1,DiscountCurve/JPY/1/1Y,-0.00049665,0.00010000
DiscountCurve/JPY/2,DiscountCurve/JPY/2/2Y,-0.00059645,0.00010000
DiscountCurve/JPY/3,DiscountCurve/JPY/3/3Y,-0.00083554,0.00010000
DiscountCurve/JPY/4,DiscountCurve/JPY/4/5Y,-0.00029429,0.00010000
DiscountCurve/JPY/5,DiscountCurve/JPY/5/7Y,0.00045178,0.00010000
DiscountCurve/JPY/6,DiscountCurve/JPY/6/10Y,0.00199812,0.00010000
DiscountCurve/JPY/7,DiscountCurve/JPY/7/15Y,0.00496454,0.00010000
DiscountCurve/JPY/8,DiscountCurve/JPY/8/20Y,0.00728082,0.00010000
DiscountCurve/USD/0,DiscountCurve/USD/0/6M,0.00916754,0.00010000
DiscountCurve/USD/1,DiscountCurve/USD/1/1Y,0.00990207,0.00010000
DiscountCurve/USD/2,DiscountCurve/USD/2/2Y,0.01321965,0.00010000
DiscountCurve/USD/3,DiscountCurve/USD/3/3Y,0.01469827,0.00010000
DiscountCurve/USD/4,DiscountCurve/USD/4/5Y,0.01712428,0.00010000
DiscountCurve/USD/5,DiscountCurve/USD/5/7Y,0.01946714,0.00010000
DiscountCurve/USD/6,DiscountCurve/USD/6/10Y,0.02167219,0.00010000
DiscountCurve/USD/7,DiscountCurve/USD/7/15Y,0.02364750,0.00010000
DiscountCurve/USD/8,DiscountCurve/USD/8/20Y,0.02480878,0.00010000
YieldCurve/BENCHMARK_EUR/0,YieldCurve/BENCHMARK_EUR/0/6M,-0.00759898,0.00010000
YieldCurve/BENCHMARK_EUR/1,YieldCurve/BENCHMARK_EUR/1/1Y,-0.00816143,0.00010000
YieldCurve/BENCHMARK_EUR/2,YieldCurve/BENCHMARK_EUR/2/2Y,-0.00850149,0.00010000
YieldCurve/BENCHMARK_EUR/3,YieldCurve/BENCHMARK_EUR/3/3Y,-0.00814065,0.00010000
YieldCurve/BENCHMARK_EUR/4,YieldCurve/BENCHMARK_EUR/4/5Y,-0.00678025,0.00010000
YieldCurve/BENCHMARK_EUR/5,YieldCurve/BENCHMARK_EUR/5/7Y,-0.00449692,0.00010000
YieldCurve/BENCHMARK_EUR/6,YieldCurve/BENCHMARK_EUR/6/10Y,-0.00101401,0.00010000
YieldCurve/BENCHMARK_EUR/7,YieldCurve/BENCHMARK_EUR/7/15Y,0.00265767,0.00010000
YieldCurve/BENCHMARK_EUR/8,YieldCurve/BENCHMARK_EUR/8/20Y,0.00430009,0.00010000
IndexCurve/CHF-LIBOR-6M/0,IndexCurve/CHF-LIBOR-6M/0/6M,-0.00839947,0.00010000
IndexCurve/CHF-LIBOR-6M/1,IndexCurve/CHF-LIBOR-6M/1/1Y,-0.00870136,0.00010000
IndexCurve/CHF-LIBOR-6M/2,IndexCurve/CHF-LIBOR-6M/2/2Y,-0.00845519,0.00010000
IndexCurve/CHF-LIBOR-6M/3,IndexCurve/CHF-LIBOR-6M/3/3Y,-0.00805740,0.00010000
IndexCurve/CHF-LIBOR-6M/4,IndexCurve/CHF-LIBOR-6M/4/5Y,-0.00633179,0.00010000
IndexCurve/CHF-LIBOR-6M/5,IndexCurve/CHF-LIBOR-6M/5/7Y,-0.00406142,0.00010000
IndexCurve/CHF-LIBOR-6M/6,IndexCurve/CHF-LIBOR-6M/6/10Y,-0.00161980,0.00010000
IndexCurve/CHF-LIBOR-6M/7,IndexCurve/CHF-LIBOR-6M/7/15Y,0.00119824,0.00010000
IndexCurve/CHF-LIBOR-6M/8,IndexCurve/CHF-LIBOR-6M/8/20Y,0.00275740,0.00010000
IndexCurve/EUR-EONIA/0,IndexCurve/EUR-EONIA/0/6M,-0.00259898,0.00010000
IndexCurve/EUR-EONIA/1,IndexCurve/EUR-EONIA/1/1Y,-0.00316143,0.00010000
IndexCurve/EUR-EONIA/2,IndexCurve/EUR-EONIA/2/2Y,-0.00350149,0.00010000
IndexCurve/EUR-EONIA/3,IndexCurve/EUR-EONIA/3/3Y,-0.00314065,0.00010000
IndexCurve/EUR-EONIA/4,IndexCurve/EUR-EONIA/4/5Y,-0.00178025,0.00010000
IndexCurve/EUR-EONIA/5,IndexCurve/EUR-EONIA/5/7Y,0.00050308,0.00010000
IndexCurve/EUR-EONIA/6,IndexCurve/EUR-EONIA/6/10Y,0.00398599,0.00010000
IndexCurve/EUR-EONIA/7,IndexCurve/EUR-EONIA/7/15Y,0.00765767,0.00010000
IndexCurve/EUR-EONIA/8,IndexCurve/EUR-EONIA/8/20Y,0.00930009,0.00010000
IndexCurve/EUR-EURIBOR-3M/0,IndexCurve/EUR-EURIBOR-3M/0/6M,-0.00095888,0.00010000
IndexCurve/EUR-EURIBOR-3M/1,IndexCurve/EUR-EURIBOR-3M/1/1Y,-0.00152015,0.00010000
IndexCurve/EUR-EURIBOR-3M/2,IndexCurve/EUR-EURIBOR-3M/2/2Y,-0.00179949,0.00010000
IndexCurve/EUR-EURIBOR-3M/3,IndexCurve/EUR-EURIBOR-3M/3/3Y,-0.00147074,0.00010000
IndexCurve/EUR-EURIBOR-3M/4,IndexCurve/EUR-EURIBOR-3M/4/5Y,0.00008897,0.00010000
IndexCurve/EUR-EURIBOR-3M/5,IndexCurve/EUR-EURIBOR-3M/5/7Y,0.00221862,0.00010000
IndexCurve/EUR-EURIBOR-3M/6,IndexCurve/EUR-EURIBOR-3M/6/10Y,0.00572860,0.00010000
IndexCurve/EUR-EURIBOR-3M/7,IndexCurve/EUR-EURIBOR-3M/7/15Y,0.00938779,0.00010000
IndexCurve/EUR-EURIBOR-3M/8,IndexCurve/EUR-EURIBOR-3M/8/20Y,0.01062757,0.00010000
IndexCurve/EUR-EURIBOR-6M/0,IndexCurve/EUR-EURIBOR-6M/0/6M,0.00024940,0.00010000
IndexCurve/EUR-EURIBOR-6M/1,IndexCurve/EUR-EURIBOR-6M/1/1Y,-0.00021857,0.00010000
IndexCurve/EUR-EURIBOR-6M/2,IndexCurve/EUR-EURIBOR-6M/2/2Y,-0.00046003,0.00010000
IndexCurve/EUR-EURIBOR-6M/3,IndexCurve/EUR-EURIBOR-6M/3/3Y,-0.00015848,0.00010000
IndexCurve/EUR-EURIBOR-6M/4,IndexCurve/EUR-EURIBOR-6M/4/5Y,0.00150470,0.00010000
IndexCurve/EUR-EURIBOR-6M/5,IndexCurve/EUR-EURIBOR-6M/5/7Y,0.00367027,0.00010000
IndexCurve/EUR-EURIBOR-6M/6,IndexCurve/EUR-EURIBOR-6M/6/10Y,0.00696965,0.00010000
IndexCurve/EUR-EURIBOR-6M/7,IndexCurve/EUR-EURIBOR-6M/7/15Y,0.01009624,0.00010000
IndexCurve/EUR-EURIBOR-6M/8,IndexCurve/EUR-EURIBOR-6M/8/20Y,0.01144750,0.00010000
IndexCurve/GBP-LIBOR-3M/0,IndexCurve/GBP-LIBOR-3M/0/6M,0.00721968,0.00010000
IndexCurve/GBP-LIBOR-3M/1,IndexCurve/GBP-LIBOR-3M/1/1Y,0.00746865,0.00010000
IndexCurve/GBP-LIBOR-3M/2,IndexCurve/GBP-LIBOR-3M/2/2Y,0.00714543,0.00010000
IndexCurve/GBP-LIBOR-3M/3,IndexCurve/GBP-LIBOR-3M/3/3Y,0.00760734,0.00010000
IndexCurve/GBP-LIBOR-3M/4,IndexCurve/GBP-LIBOR-3M/4/5Y,0.00911584,0.00010000
IndexCurve/GBP-LIBOR-3M/5,IndexCurve/GBP-LIBOR-3M/5/7Y,0.01092791,0.00010000
IndexCurve/GBP-LIBOR-3M/6,IndexCurve/GBP-LIBOR-3M/6/10Y,0.01370110,0.00010000
IndexCurve/GBP-LIBOR-3M/7,IndexCurve/GBP-LIBOR-3M/7/15Y,0.01586324,0.00010000
IndexCurve/GBP-LIBOR-3M/8,IndexCurve/GBP-LIBOR-3M/8/20Y,0.01684198,0.00010000
IndexCurve/GBP-LIBOR-6M/0,IndexCurve/GBP-LIBOR-6M/0/6M,0.00892611,0.00010000
IndexCurve/GBP-LIBOR-6M/1,IndexCurve/GBP-LIBOR-6M/1/1Y,0.00854241,0.00010000
IndexCurve/GBP-LIBOR-6M/2,IndexCurve/GBP-LIBOR-6M/2/2Y,0.00824794,0.00010000
IndexCurve/GBP-LIBOR-6M/3,IndexCurve/GBP-LIBOR-6M/3/3Y,0.00866852,0.00010000
IndexCurve/GBP-LIBOR-6M/4,IndexCurve/GBP-LIBOR-6M/4/5Y,0.01001204,0.00010000
IndexCurve/GBP-LIBOR-6M/5,IndexCurve/GBP-LIBOR-6M/5/7Y,0.01198267,0.00010000
IndexCurve/GBP-LIBOR-6M/6,IndexCurve/GBP-LIBOR-6M/6/10Y,0.01458119,0.00010000
IndexCurve/GBP-LIBOR-6M/7,IndexCurve/GBP-LIBOR-6M/7/15Y,0.01653995,0.00010000
IndexCurve/GBP-LIBOR-6M/8,IndexCurve/GBP-LIBOR-6M/8/20Y,0.01718722,0.00010000
IndexCurve/JPY-LIBOR-6M/0,IndexCurve/JPY-LIBOR-6M/0/6M,-0.00029457,0.00010000
IndexCurve/JPY-LIBOR-6M/1,IndexCurve/JPY-LIBOR-6M/1/1Y,-0.00049665,0.00010000
IndexCurve/JPY-LIBOR-6M/2,IndexCurve/JPY-LIBOR-6M/2/2Y,-0.00059645,0.00010000
IndexCurve/JPY-LIBOR-6M/3,IndexCurve/JPY-LIBOR-6M/3/3Y,-0.00083554,0.00010000
IndexCurve/JPY-LIBOR-6M/4,IndexCurve/JPY-LIBOR-6M/4/5Y,-0.00029429,0.00010000
IndexCurve/JPY-LIBOR-6M/5,IndexCurve/JPY-LIBOR-6M/5/7Y,0.00045178,0.00010000
IndexCurve/JPY-LIBOR-6M/6,IndexCurve/JPY-LIBOR-6M/6/10Y,0.00199812,0.00010000
IndexCurve/JPY-LIBOR-6M/7,IndexCurve/JPY-LIBOR-6M/7/15Y,0.00496454,0.00010000
IndexCurve/JPY-LIBOR-6M/8,IndexCurve/JPY-LIBOR-6M/8/20Y,0.00728082,0.00010000
IndexCurve/USD-LIBOR-3M/0,IndexCurve/USD-LIBOR-3M/0/6M,0.00809933,0.00010000
IndexCurve/USD-LIBOR-3M/1,IndexCurve/USD-LIBOR-3M/1/1Y,0.00852760,0.00010000
IndexCurve/USD-LIBOR-3M/2,IndexCurve/USD-LIBOR-3M/2/2Y,0.00921693,0.00010000
IndexCurve/USD-LIBOR-3M/3,IndexCurve/USD-LIBOR-3M/3/3Y,0.01019493,0.00010000
IndexCurve/USD-LIBOR-3M/4,IndexCurve/USD-LIBOR-3M/4/5Y,0.01237271,0.00010000
IndexCurve/USD-LIBOR-3M/5,IndexCurve/USD-LIBOR-3M/5/7Y,0.01436923,0.00010000
IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/6/10Y,0.01691046,0.00010000
IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/7/15Y,0.01959010,0.00010000
IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/8/20Y,0.02105603,0.00010000
IndexCurve/USD-LIBOR-6M/0,IndexCurve/USD-LIBOR-6M/0/6M,0.00809101,0.00010000
IndexCurve/USD-LIBOR-6M/1,IndexCurve/USD-LIBOR-6M/1/1Y,0.00890329,0.00010000
IndexCurve/USD-LIBOR-6M/2,IndexCurve/USD-LIBOR-6M/2/2Y,0.00770981,0.00010000
IndexCurve/USD-LIBOR-6M/3,IndexCurve/USD-LIBOR-6M/3/3Y,0.00883154,0.00010000
IndexCurve/USD-LIBOR-6M/4,IndexCurve/USD-LIBOR-6M/4/5Y,0.01114338,0.00010000
