#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,0.00,270434.97,0.00,-270434.97,0.00,0.00
CPTY_A,2016-03-07,0.084699,68134.35,335929.98,441486.91,0.00,68124.47,68124.47
CPTY_A,2016-04-05,0.163934,125090.96,392040.24,695120.00,0.00,125049.30,125049.30
CPTY_A,2016-05-06,0.248634,171071.23,439684.53,929648.69,0.00,170973.05,170973.05
CPTY_A,2016-06-06,0.333333,209881.78,476712.01,1144568.88,0.00,209710.74,209710.74
CPTY_A,2016-07-05,0.412568,243368.85,508838.67,1239560.50,0.00,243101.91,243101.91
CPTY_A,2016-08-05,0.497268,279424.17,542737.64,1468000.00,0.00,279062.29,279062.29
CPTY_A,2016-09-06,0.584699,307740.74,569557.24,1544774.00,0.00,307237.90,307237.90
CPTY_A,2016-10-05,0.663934,332507.72,594654.44,1702013.38,0.00,331878.32,331878.32
CPTY_A,2016-11-07,0.754098,361676.01,624522.60,1865622.88,0.00,360839.08,360839.08
CPTY_A,2016-12-05,0.830601,392659.44,654545.81,2081181.25,0.00,391637.79,391637.79
CPTY_A,2017-01-05,0.915330,418586.28,679157.59,2186673.25,0.00,417373.03,417373.03
CPTY_A,2017-02-06,1.003002,437082.24,696443.85,2388716.50,0.00,435695.16,435695.16
CPTY_A,2017-03-06,1.079714,408986.46,768099.22,2255803.50,0.00,407564.05,435695.16
CPTY_A,2017-04-05,1.161906,430085.50,788677.22,2240150.25,0.00,428444.24,435695.16
CPTY_A,2017-05-05,1.244098,445248.74,803923.16,2343983.75,0.00,443399.06,443399.06
CPTY_A,2017-06-06,1.331769,459186.41,817387.71,2271823.50,0.00,457137.01,457137.01
CPTY_A,2017-07-05,1.411221,473763.06,831322.17,2448104.50,0.00,471520.13,471520.13
CPTY_A,2017-08-07,1.501632,498380.32,854748.59,2541987.75,0.00,495867.12,495867.12
CPTY_A,2017-09-05,1.581084,490153.47,850734.21,2520306.50,0.00,487543.43,495867.12
CPTY_A,2017-10-05,1.663276,499210.36,859556.75,2515045.25,0.00,496405.71,496405.71
CPTY_A,2017-11-06,1.750947,515400.15,877388.72,2677590.50,0.00,512343.38,512343.38
CPTY_A,2017-12-05,1.830399,535056.68,895700.01,2690986.75,0.00,531705.84,531705.84
CPTY_A,2018-01-05,1.915330,545384.92,907265.19,2787565.25,0.00,541771.54,541771.54
CPTY_A,2018-02-05,2.000262,557523.20,919231.96,2929716.75,0.00,553627.21,553627.21
CPTY_A,2018-03-05,2.076974,511776.96,977908.78,2714527.25,0.00,508089.13,553627.21
CPTY_A,2018-04-05,2.161906,530744.34,994393.24,2843892.00,0.00,526813.28,553627.21
CPTY_A,2018-05-08,2.252317,547440.26,1011909.70,2979133.00,0.00,543268.57,553627.21
CPTY_A,2018-06-05,2.329029,558224.35,1022916.27,3075995.25,0.00,553869.29,553869.29
CPTY_A,2018-07-05,2.411221,572582.84,1036168.53,3165600.00,0.00,568004.59,568004.59
CPTY_A,2018-08-06,2.498892,593199.13,1054634.30,3181405.50,0.00,588333.20,588333.20
CPTY_A,2018-09-05,2.581084,581929.84,1041144.60,3178644.00,0.00,577043.40,588333.20
CPTY_A,2018-10-05,2.663276,592481.14,1050475.39,3180023.75,0.00,587391.13,588333.20
CPTY_A,2018-11-05,2.748207,607329.17,1065238.58,3212198.25,0.00,601989.84,601989.84
CPTY_A,2018-12-05,2.830399,614482.74,1073727.26,3328165.25,0.00,608961.33,608961.33
CPTY_A,2019-01-07,2.920810,632225.64,1089802.84,3334693.50,0.00,626409.93,626409.93
CPTY_A,2019-02-05,3.000262,647307.27,1103492.55,3340387.50,0.00,641231.50,641231.50
CPTY_A,2019-03-05,3.076974,602364.10,1151599.06,3363530.50,0.00,596660.83,641231.50
CPTY_A,2019-04-05,3.161906,607740.12,1160956.46,3148671.25,0.00,601953.03,641231.50
CPTY_A,2019-05-07,3.249577,618672.91,1172039.10,3468526.75,0.00,612747.14,641231.50
CPTY_A,2019-06-05,3.329029,640098.29,1187058.96,3404097.50,0.00,633934.88,641231.50
CPTY_A,2019-07-05,3.411221,628990.02,1187783.07,3373399.25,0.00,622900.61,641231.50
CPTY_A,2019-08-05,3.496152,630040.94,1195679.55,3420577.50,0.00,623907.25,641231.50
CPTY_A,2019-09-05,3.581084,615202.43,1166451.28,3395342.50,0.00,609179.89,641231.50
CPTY_A,2019-10-07,3.668755,628314.91,1180785.85,3325967.00,0.00,622128.89,641231.50
CPTY_A,2019-11-05,3.748207,628822.11,1184935.59,3347260.00,0.00,622599.26,641231.50
CPTY_A,2019-12-05,3.830399,637132.54,1193414.52,3515676.50,0.00,630794.08,641231.50
CPTY_A,2020-01-06,3.918033,646465.74,1201540.27,3681869.75,0.00,639998.30,641231.50
CPTY_A,2020-02-05,4.000000,662816.78,1215220.28,3730231.75,0.00,656151.05,656151.05
CPTY_A,2020-03-05,4.079235,609459.25,1244115.48,3408695.25,0.00,603370.27,656151.05
CPTY_A,2020-04-06,4.166667,621067.02,1254689.56,3827876.00,0.00,614928.04,656151.05
CPTY_A,2020-05-05,4.245902,630971.50,1267259.09,3999695.25,0.00,624795.37,656151.05
CPTY_A,2020-06-05,4.330601,642002.42,1277923.24,3887873.75,0.00,635784.41,656151.05
CPTY_A,2020-07-06,4.415301,643766.32,1286105.77,3690841.25,0.00,637597.50,656151.05
CPTY_A,2020-08-05,4.497268,647403.65,1291619.79,3906317.00,0.00,641264.48,656151.05
CPTY_A,2020-09-08,4.590164,632407.34,1252935.12,3958821.75,0.00,626481.80,656151.05
CPTY_A,2020-10-05,4.663934,639073.17,1259067.14,3911712.00,0.00,633142.50,656151.05
CPTY_A,2020-11-05,4.748634,639699.31,1265704.89,3951063.25,0.00,633828.71,656151.05
CPTY_A,2020-12-07,4.836066,647456.81,1274796.21,3923274.50,0.00,641583.86,656151.05
CPTY_A,2021-01-05,4.915330,656808.88,1281892.05,4000591.00,0.00,650914.39,656151.05
CPTY_A,2021-02-05,5.000262,664096.98,1293198.38,4204978.50,0.00,658205.51,658205.51
CPTY_A,2021-03-05,5.076974,612847.07,1312100.03,3867750.00,0.00,607605.63,658205.51
CPTY_A,2021-04-06,5.164646,614150.55,1314791.35,3947700.50,0.00,609156.26,658205.51
CPTY_A,2021-05-05,5.244098,618677.01,1318736.06,3826202.50,0.00,613881.81,658205.51
CPTY_A,2021-06-07,5.334509,633491.58,1322883.57,3796535.00,0.00,628856.53,658205.51
CPTY_A,2021-07-06,5.413961,624442.17,1324453.41,3759209.25,0.00,620111.63,658205.51
CPTY_A,2021-08-05,5.496152,649492.71,1336591.61,4051833.75,0.00,645244.94,658205.51
CPTY_A,2021-09-07,5.586563,623297.95,1274748.65,3923386.25,0.00,619492.39,658205.51
CPTY_A,2021-10-05,5.663276,624659.32,1277948.57,3959551.25,0.00,621075.89,658205.51
CPTY_A,2021-11-05,5.748207,626432.01,1281342.34,3814326.25,0.00,623094.36,658205.51
CPTY_A,2021-12-06,5.833139,629919.40,1285884.20,3800418.00,0.00,626820.65,658205.51
CPTY_A,2022-01-05,5.915330,636960.03,1291831.10,3623513.75,0.00,634078.71,658205.51
CPTY_A,2022-02-07,6.005741,643810.76,1298077.85,3843127.25,0.00,641178.82,658205.51
CPTY_A,2022-03-07,6.082454,593150.52,1300619.63,3436391.00,0.00,591060.26,658205.51
CPTY_A,2022-04-05,6.161906,599707.30,1305880.19,3475476.00,0.00,597958.99,658205.51
CPTY_A,2022-05-05,6.244098,605804.30,1312168.52,3694121.00,0.00,604419.94,658205.51
CPTY_A,2022-06-07,6.334509,613106.50,1318313.63,3425579.00,0.00,612130.68,658205.51
CPTY_A,2022-07-05,6.411221,613596.24,1321550.83,3593756.50,0.00,612980.98,658205.51
CPTY_A,2022-08-05,6.496152,614239.32,1324192.59,3801796.00,0.00,614024.12,658205.51
CPTY_A,2022-09-06,6.583824,597498.90,1263724.77,3404270.75,0.00,597692.20,658205.51
CPTY_A,2022-10-05,6.663276,598377.32,1264875.33,3432513.75,0.00,598936.55,658205.51
CPTY_A,2022-11-07,6.753687,605270.80,1271972.74,3599419.25,0.00,606257.63,658205.51
CPTY_A,2022-12-05,6.830399,612730.63,1279403.92,3416015.25,0.00,614091.61,658205.51
CPTY_A,2023-01-05,6.915330,618495.74,1286388.42,3451611.75,0.00,620274.31,658205.51
CPTY_A,2023-02-06,7.003002,626371.33,1297588.01,3670034.75,0.00,628595.99,658205.51
CPTY_A,2023-03-06,7.079714,570862.11,1293124.84,3448094.00,0.00,573317.06,658205.51
CPTY_A,2023-04-05,7.161906,580235.32,1303015.76,3825898.00,0.00,583212.69,658205.51
