#datumDate,datumId,datumValue
2016-02-05,CDS/CREDIT_SPREAD/BANK/SR/EUR/1Y,0.0100000000
2016-02-05,FX/RATE/EUR/GBP,0.8119380000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/GBP/1Y/ATM,0.1297750000
2016-02-05,HAZARD_RATE/RATE/CPTY_A/SR/EUR/1Y,0.0100000000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/10Y,0.0133180000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/12Y,0.0145900000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/15Y,0.0160290000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1M,0.0044580000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y,0.0056140000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y3M,0.0058570000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y6M,0.0060540000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/1Y9M,0.0060970000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/20Y,0.0173400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/25Y,0.0180400000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/2Y,0.0064330000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/30Y,0.0183260000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3M,0.0048510000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/3Y,0.0071010000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/4Y,0.0082640000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/5Y,0.0092690000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/6M,0.0052370000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/7Y,0.0110350000
2016-02-05,IR_SWAP/RATE/USD/2D/1D/9M,0.0054710000
2016-02-05,MM/RATE/USD/0D/1D,0.0044800000
2016-02-05,RECOVERY_RATE/RATE/BANK/SR/EUR,0.4000000000
2016-02-05,RECOVERY_RATE/RATE/CPTY_A/SR/EUR,0.4000000000
2016-02-05,SWAPTION/RATE_LNVOL/EUR/1Y/1Y/ATM,0.1000000000
2016-02-05,SWAPTION/RATE_NVOL/GBP/1Y/1Y/ATM,0.0015000000
2016-02-05,ZERO/RATE/EUR/EUR1D/A360/1Y,0.0200000000
2016-02-05,ZERO/RATE/EUR/EUR6M/A360/1Y,0.0210000000
2016-02-05,ZERO/RATE/GBP/GBP1D/A365F/1Y,0.0250000000
2016-02-05,ZERO/RATE/GBP/GBP6M/A365F/1Y,0.0260000000
