#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201477.63,0.00,1201477.63,1201477.63,1201477.63,1201477.63
CPTY_A,2016-02-19,0.038251,1296922.30,100020.85,3090228.63,0.00,1296862.49,1296862.49
CPTY_A,2016-03-04,0.076503,1438049.44,237028.63,3840384.44,0.00,1437869.67,1437869.67
CPTY_A,2016-03-18,0.114754,1759221.80,308924.63,4733724.16,0.00,1758840.44,1758840.44
CPTY_A,2016-04-01,0.153005,1845852.94,395699.32,5032220.25,0.00,1845285.82,1845285.82
CPTY_A,2016-04-15,0.191257,1942996.78,494554.14,5383175.13,0.00,1942214.22,1942214.22
CPTY_A,2016-04-29,0.229508,1920890.01,635521.82,5817632.63,0.00,1919897.19,1942214.22
CPTY_A,2016-05-13,0.267760,1998361.32,711430.15,6048896.41,0.00,1997103.04,1997103.04
CPTY_A,2016-05-27,0.306011,2081492.17,788753.95,6627162.81,0.00,2079956.59,2079956.59
CPTY_A,2016-06-10,0.344262,2162447.01,864980.51,6798484.94,0.00,2160618.02,2160618.02
CPTY_A,2016-06-24,0.382514,2221826.47,924608.12,7218226.00,0.00,2219634.86,2219634.86
CPTY_A,2016-07-08,0.420765,2306346.66,1009990.47,7263265.56,0.00,2303747.44,2303747.44
CPTY_A,2016-07-22,0.459016,2247644.99,1087293.51,7450639.00,0.00,2244901.82,2303747.44
CPTY_A,2016-08-05,0.497268,2310011.77,1151357.84,7446762.81,0.00,2307020.10,2307020.10
CPTY_A,2016-08-19,0.535519,2360750.62,1199880.20,7695113.50,0.00,2357384.60,2357384.60
CPTY_A,2016-09-02,0.573770,2419557.32,1243625.08,8055107.00,0.00,2415715.74,2415715.74
CPTY_A,2016-09-16,0.612022,2438566.17,1334671.54,8424254.00,0.00,2434332.08,2434332.08
CPTY_A,2016-09-30,0.650273,2503901.95,1405883.32,8477262.75,0.00,2499265.54,2499265.54
