#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_2,2016-02-05,0.000000,1317065,0,0,0,1317065,1317065,1317065
Swap_2,2016-02-19,0.038251,1316769,315,1169661,-146793,2100002,1316708,1317065
Swap_2,2016-03-04,0.076503,1331736,13661,1108971,-209104,2472044,1331570,1331570
Swap_2,2016-03-18,0.114754,1346531,37319,1130088,-179124,2704949,1346239,1346239
Swap_2,2016-04-01,0.153005,1370555,60168,1139962,-170426,2881947,1370134,1370134
Swap_2,2016-04-15,0.191257,1393638,82672,1113008,-197958,3075855,1393076,1393076
Swap_2,2016-04-29,0.229508,1415396,101843,1074186,-239367,3309096,1414665,1414665
Swap_2,2016-05-13,0.267760,1438428,123929,1093281,-221218,3406066,1437522,1437522
Swap_2,2016-05-27,0.306011,1475422,161682,1105959,-207781,3398875,1474333,1474333
Swap_2,2016-06-10,0.344262,1492760,190709,1084551,-217500,3561073,1491497,1491497
Swap_2,2016-06-24,0.382514,1515181,214641,1077912,-222628,3809005,1513687,1513687
Swap_2,2016-07-08,0.420765,1550245,250276,1097801,-202168,3812024,1548498,1548498
Swap_2,2016-07-22,0.459016,1569646,262684,1075217,-231745,3891715,1567730,1567730
Swap_2,2016-08-05,0.497268,1590586,280754,1083408,-226423,4001788,1588526,1588526
Swap_2,2016-08-19,0.535519,1610046,299980,1114099,-195967,4007685,1607750,1607750
Swap_2,2016-09-02,0.573770,1624955,317133,1103625,-204197,4218987,1622375,1622375
Swap_2,2016-09-16,0.612022,1411876,418216,921943,-71717,3913879,1409425,1622375
Swap_2,2016-09-30,0.650273,1435631,444110,894746,-96774,4043365,1432973,1622375
Swap_2,2016-10-14,0.688525,1459375,471393,890517,-97466,4002457,1456481,1622375
Swap_2,2016-10-28,0.726776,1473029,486002,890221,-96805,4184965,1469823,1622375
Swap_2,2016-11-14,0.773224,1491641,507713,908215,-75713,4277347,1488069,1622375
Swap_2,2016-11-25,0.803279,1540830,578340,927709,-34782,4421029,1536973,1622375
Swap_2,2016-12-09,0.841530,1501846,528321,920323,-53202,4234029,1497879,1622375
Swap_2,2016-12-23,0.879781,1526486,557220,937833,-31433,4257838,1522250,1622375
Swap_2,2017-01-06,0.918070,1533663,558351,886877,-88436,4451947,1529203,1622375
Swap_2,2017-01-20,0.956426,1550954,575988,913352,-61613,4442892,1546254,1622375
Swap_2,2017-02-03,0.994783,1569911,594978,925765,-49168,4492170,1564968,1622375
Swap_2,2017-02-17,1.033139,1590640,616823,934365,-39452,4522462,1585413,1622375
Swap_2,2017-03-03,1.071495,1608015,633603,944346,-30066,4537009,1602477,1622375
Swap_2,2017-03-17,1.109851,1580380,625597,958625,3842,4457867,1574687,1622375
Swap_2,2017-03-31,1.148207,1598773,641698,973722,16647,4612451,1592762,1622375
Swap_2,2017-04-18,1.197522,1613744,656217,963398,5871,4663605,1607350,1622375
Swap_2,2017-04-28,1.224920,1630227,679869,956481,6122,4810415,1623583,1623583
Swap_2,2017-05-12,1.263276,1632083,673356,959921,1194,4781402,1625181,1625181
Swap_2,2017-05-26,1.301632,1647802,688591,950245,-8965,4816199,1640617,1640617
Swap_2,2017-06-09,1.339988,1622317,680968,921357,-19992,4756383,1615031,1640617
Swap_2,2017-06-23,1.378344,1636276,695537,895546,-45193,4857152,1628713,1640617
Swap_2,2017-07-07,1.416700,1645503,699853,898014,-47637,4882314,1637682,1640617
Swap_2,2017-07-21,1.455057,1659316,713310,914964,-31043,4967319,1651212,1651212
Swap_2,2017-08-04,1.493413,1668101,719655,923112,-25334,4915293,1659736,1659736
Swap_2,2017-08-18,1.531769,1678470,730087,919962,-28421,4977137,1669827,1669827
Swap_2,2017-09-01,1.570125,1686215,733964,954213,1963,5081235,1677302,1677302
Swap_2,2017-09-15,1.608481,1487848,852972,744596,109720,4706115,1479780,1677302
Swap_2,2017-09-29,1.646837,1505182,874042,741095,109955,4711157,1496814,1677302
Swap_2,2017-10-13,1.685194,1515811,884151,745931,114272,4749506,1507176,1677302
Swap_2,2017-10-27,1.723550,1524651,894158,771083,140589,4800238,1515758,1677302
Swap_2,2017-11-13,1.770125,1542217,910395,812514,180692,4850410,1532956,1677302
Swap_2,2017-11-24,1.800262,1553398,917946,832029,196578,4920621,1543869,1677302
Swap_2,2017-12-08,1.838618,1520780,902046,794625,175891,4772355,1511203,1677302
Swap_2,2017-12-22,1.876974,1534076,912888,795276,174088,4817379,1524163,1677302
Swap_2,2018-01-05,1.915330,1539783,913042,797222,170482,4861042,1529581,1677302
Swap_2,2018-01-19,1.953687,1557001,928956,807111,179065,4953199,1546431,1677302
Swap_2,2018-02-02,1.992043,1561583,929773,800621,168811,4957039,1550725,1677302
Swap_2,2018-02-16,2.030399,1579179,951579,825128,197527,4898825,1567974,1677302
Swap_2,2018-03-02,2.068755,1595013,971924,809722,186633,4866805,1583550,1677302
Swap_2,2018-03-16,2.107111,1563527,956518,817228,210218,4795232,1552149,1677302
Swap_2,2018-04-03,2.156426,1582555,980646,814981,213072,4915601,1570854,1677302
Swap_2,2018-04-13,2.183824,1593242,995071,820147,221976,4902558,1581359,1677302
Swap_2,2018-04-27,2.222180,1602636,1001618,838563,237545,4894035,1590538,1677302
Swap_2,2018-05-11,2.260536,1606987,1001104,858524,252641,4886725,1594710,1677302
Swap_2,2018-05-25,2.298892,1621570,1013690,890132,282252,4906172,1609034,1677302
Swap_2,2018-06-08,2.337248,1587148,986987,814862,214701,4873744,1574735,1677302
Swap_2,2018-06-22,2.375604,1591279,990692,818036,217450,4915084,1578689,1677302
Swap_2,2018-07-06,2.413961,1602035,1001441,791544,190949,4962007,1589215,1677302
Swap_2,2018-07-20,2.452317,1613293,1013164,801906,201777,4997098,1600237,1677302
Swap_2,2018-08-03,2.490673,1617961,1016690,784382,183111,5062178,1604721,1677302
Swap_2,2018-08-17,2.529029,1626642,1024464,782991,180813,5118684,1613183,1677302
Swap_2,2018-08-31,2.567385,1639174,1038474,788103,187403,5103709,1625462,1677302
Swap_2,2018-09-14,2.605741,1442081,1149675,627634,335229,4782645,1429888,1677302
Swap_2,2018-09-28,2.644098,1452862,1162227,648252,357617,4718392,1440446,1677302
Swap_2,2018-10-12,2.682454,1452808,1162824,634041,344057,4880462,1440261,1677302
Swap_2,2018-10-26,2.720810,1476096,1192832,664657,381393,4918809,1463214,1677302
Swap_2,2018-11-09,2.759166,1483288,1196906,673633,387250,4906468,1470210,1677302
Swap_2,2018-11-23,2.797522,1488530,1201504,657752,370726,4905734,1475270,1677302
Swap_2,2018-12-07,2.835878,1452820,1173177,636312,356669,4805056,1439747,1677302
Swap_2,2018-12-21,2.874235,1461277,1178918,640523,358163,4764292,1447996,1677302
Swap_2,2019-01-04,2.912591,1471317,1188997,648755,366435,4757518,1457812,1677302
Swap_2,2019-01-18,2.950947,1478082,1194790,646158,362866,4818386,1464381,1677302
Swap_2,2019-02-01,2.989303,1493888,1211016,624356,341484,4838347,1479905,1677302
Swap_2,2019-02-15,3.027659,1497537,1214704,678324,395492,4819108,1483405,1677302
Swap_2,2019-03-01,3.066015,1508574,1229147,672859,393432,4907220,1494301,1677302
Swap_2,2019-03-15,3.104372,1468911,1191135,676899,399123,4832328,1454977,1677302
Swap_2,2019-03-29,3.142728,1476924,1195505,701557,420138,4842545,1462878,1677302
Swap_2,2019-04-12,3.181084,1485064,1201550,683342,399828,4806113,1470905,1677302
Swap_2,2019-04-26,3.219440,1497424,1214667,704535,421778,4839585,1483110,1677302
Swap_2,2019-05-10,3.257796,1503223,1221859,661015,379651,4805181,1488817,1677302
Swap_2,2019-05-24,3.296152,1510032,1227941,690963,408871,4907602,1495524,1677302
Swap_2,2019-06-07,3.334509,1474924,1183966,660456,369498,4761668,1460717,1677302
Swap_2,2019-06-21,3.372865,1481190,1189151,679878,387840,4694568,1466886,1677302
Swap_2,2019-07-05,3.411221,1490395,1196748,679288,385640,4629977,1475966,1677302
Swap_2,2019-07-19,3.449577,1499931,1207036,663054,370159,4780745,1485373,1677302
Swap_2,2019-08-02,3.487933,1502656,1206483,662575,366402,4769323,1488035,1677302
Swap_2,2019-08-16,3.526289,1506791,1210143,690816,394168,4785713,1492093,1677302
Swap_2,2019-08-30,3.564646,1519198,1220756,667268,368827,4831740,1504341,1677302
Swap_2,2019-09-13,3.603002,1327687,1324508,529851,526672,4487654,1314671,1677302
Swap_2,2019-09-27,3.641358,1339459,1338599,525450,524589,4493031,1326295,1677302
Swap_2,2019-10-11,3.679714,1354287,1358359,542017,546089,4526711,1340944,1677302
Swap_2,2019-10-25,3.718070,1360240,1367130,517369,524259,4594566,1346805,1677302
Swap_2,2019-11-08,3.756426,1364789,1374384,519245,528840,4572430,1351276,1677302
Swap_2,2019-11-22,3.794783,1370614,1383283,536968,549637,4538056,1357010,1677302
Swap_2,2019-12-06,3.833139,1329947,1333541,509762,513356,4485312,1316714,1677302
Swap_2,2019-12-20,3.871495,1333682,1333924,507635,507876,4499160,1320380,1677302
Swap_2,2020-01-03,3.909836,1339372,1336771,496236,493635,4489415,1325979,1677302
Swap_2,2020-01-17,3.948087,1347745,1345402,529674,527331,4479821,1334236,1677302
Swap_2,2020-01-31,3.986339,1346865,1345223,561055,559413,4438298,1333332,1677302
Swap_2,2020-02-14,4.024590,1360205,1358076,518967,516839,4443109,1346525,1677302
Swap_2,2020-02-28,4.062842,1366631,1364302,527177,524848,4465985,1352950,1677302
Swap_2,2020-03-13,4.101093,1325349,1305349,499014,479014,4292494,1312143,1677302
Swap_2,2020-03-27,4.139344,1331189,1312859,505855,487525,4320663,1317987,1677302
Swap_2,2020-04-14,4.188525,1339326,1319726,450940,431341,4431953,1326123,1677302
Swap_2,2020-04-24,4.215847,1341158,1319159,485493,463494,4424148,1327981,1677302
