#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1608754.88,0.00,1608754.88,1608754.88,1608754.88,1608754.88
CPTY_A,2016-05-06,0.248634,1591911.69,0.00,2627971.00,0.00,1592010.68,1608754.88
CPTY_A,2016-08-05,0.497268,1623543.27,14044.51,3275069.75,0.00,1623745.18,1623745.18
CPTY_A,2016-11-07,0.754098,1634444.29,33078.26,3469496.00,0.00,1634369.04,1634369.04
CPTY_A,2017-02-06,1.003002,1661921.80,70192.20,3802421.25,0.00,1661554.40,1661554.40
CPTY_A,2017-05-05,1.244098,1494189.01,98950.86,3905599.50,0.00,1493605.83,1661554.40
CPTY_A,2017-08-07,1.501632,1509337.76,123333.15,4001112.50,0.00,1508475.87,1661554.40
CPTY_A,2017-11-06,1.750947,1493384.98,140375.69,4228060.00,0.00,1492270.94,1661554.40
CPTY_A,2018-02-05,2.000262,1556231.97,184542.28,4804020.00,0.00,1554798.86,1661554.40
CPTY_A,2018-05-08,2.252317,1455195.54,274819.76,5235616.00,0.00,1454004.88,1661554.40
CPTY_A,2018-08-06,2.498892,1474515.49,300406.39,5115081.00,0.00,1473475.48,1661554.40
CPTY_A,2018-11-05,2.748207,1501746.01,312018.81,5689365.50,0.00,1500858.22,1661554.40
CPTY_A,2019-02-05,3.000262,1511026.05,322209.33,4724041.00,0.00,1510307.17,1661554.40
CPTY_A,2019-05-07,3.249577,1387913.24,390848.46,4974483.00,0.00,1388229.26,1661554.40
CPTY_A,2019-08-05,3.496152,1430401.85,408445.41,5989982.50,0.00,1431782.31,1661554.40
CPTY_A,2019-11-05,3.748207,1439283.30,396460.52,5738784.00,0.00,1441758.04,1661554.40
CPTY_A,2020-02-05,4.000000,1454962.49,434300.67,5078375.50,0.00,1458562.55,1661554.40
CPTY_A,2020-05-05,4.245902,1335597.36,502012.01,5129490.00,0.00,1340540.31,1661554.40
CPTY_A,2020-08-05,4.497268,1329472.28,504940.51,5120801.00,0.00,1336100.63,1661554.40
CPTY_A,2020-11-05,4.748634,1272086.69,482838.88,4638560.00,0.00,1280065.36,1661554.40
CPTY_A,2021-02-05,5.000262,1309486.51,506289.57,5270428.00,0.00,1319386.46,1661554.40
CPTY_A,2021-05-05,5.244098,1189973.44,555073.90,4895476.50,0.00,1201583.63,1661554.40
CPTY_A,2021-08-05,5.496152,1238279.94,590438.81,5701929.50,0.00,1253236.56,1661554.40
CPTY_A,2021-11-05,5.748207,1248315.04,552575.83,5324519.00,0.00,1266297.96,1661554.40
CPTY_A,2022-02-07,6.005741,1257894.72,579201.19,5688253.50,0.00,1279013.61,1661554.40
CPTY_A,2022-05-05,6.244098,1122639.76,609955.54,5798554.50,0.00,1143969.80,1661554.40
CPTY_A,2022-08-05,6.496152,1134544.22,634298.80,5515737.00,0.00,1158758.82,1661554.40
CPTY_A,2022-11-07,6.753687,1182561.81,606033.76,6299267.00,0.00,1210638.95,1661554.40
CPTY_A,2023-02-06,7.003002,1171535.21,611531.71,7158233.50,0.00,1202078.36,1661554.40
CPTY_A,2023-05-05,7.244098,1112690.25,661421.55,5704571.00,0.00,1145696.79,1661554.40
CPTY_A,2023-08-07,7.501632,1070718.18,666942.28,4890537.00,0.00,1106657.75,1661554.40
CPTY_A,2023-11-06,7.750947,1081042.75,624023.80,4157347.50,0.00,1121427.84,1661554.40
CPTY_A,2024-02-05,8.000000,1094446.90,644022.64,4411911.50,0.00,1139497.74,1661554.40
CPTY_A,2024-05-07,8.251366,1062581.40,695233.20,4282857.00,0.00,1110423.82,1661554.40
CPTY_A,2024-08-05,8.497268,1063012.08,716072.68,3811472.00,0.00,1114904.31,1661554.40
CPTY_A,2024-11-05,8.748634,1041882.59,648288.67,3338240.00,0.00,1096796.26,1661554.40
CPTY_A,2025-02-05,9.000262,1019863.60,653481.46,3844105.00,0.00,1077598.70,1661554.40
CPTY_A,2025-05-06,9.246837,927864.75,682181.27,4146298.25,0.00,983948.75,1661554.40
CPTY_A,2025-08-05,9.496152,981476.35,710731.28,4775814.50,0.00,1044619.07,1661554.40
CPTY_A,2025-11-05,9.748207,1010096.20,651678.52,5908255.00,0.00,1079067.55,1661554.40
CPTY_A,2026-02-05,10.000262,1035569.79,670115.21,5397901.00,0.00,1110383.64,1661554.40
CPTY_A,2026-05-05,10.244098,961596.85,684442.69,5585785.50,0.00,1034960.71,1661554.40
CPTY_A,2026-08-05,10.496152,990164.36,702852.13,4726070.00,0.00,1069878.44,1661554.40
CPTY_A,2026-11-05,10.748207,1028373.11,634754.72,5582560.00,0.00,1115511.79,1661554.40
CPTY_A,2027-02-05,11.000262,1061242.28,647214.35,4580848.00,0.00,1155671.25,1661554.40
CPTY_A,2027-05-05,11.244098,909069.81,662777.35,4684996.50,0.00,993706.19,1661554.40
