#fixingDate,fixingId,fixingValue
2016-01-28,EQ-SP5,2244.2000000000
2016-01-29,EQ-SP5,2210.0000000000
2016-02-01,EQ-SP5,2147.3000000000
2016-02-02,EQ-SP5,2102.8000000000
2016-02-03,EQ-SP5,2180.3000000000
2016-02-04,EQ-SP5,2196.5000000000
2015-08-01,EUHICP,100.0000000000
2015-09-01,EUHICP,100.0000000000
2015-10-01,EUHICP,100.0000000000
2015-11-01,EUHICP,100.1700000000
2015-12-01,EUHICP,100.1600000000
2016-01-01,EUHICP,98.6700000000
2015-08-01,EUHICPXT,100.0000000000
2015-09-01,EUHICPXT,100.0000000000
2015-10-01,EUHICPXT,100.0000000000
2015-11-01,EUHICPXT,100.1700000000
2015-12-01,EUHICPXT,100.1600000000
2016-01-01,EUHICPXT,98.6700000000
2015-08-03,EUR-EONIA,-0.0010800000
2015-08-04,EUR-EONIA,-0.0011000000
2015-08-05,EUR-EONIA,-0.0010800000
2015-08-06,EUR-EONIA,-0.0011600000
2015-08-07,EUR-EONIA,-0.0011900000
2015-08-10,EUR-EONIA,-0.0012900000
2015-08-11,EUR-EONIA,-0.0011700000
2015-08-12,EUR-EONIA,-0.0012400000
2015-08-13,EUR-EONIA,-0.0012900000
2015-08-14,EUR-EONIA,-0.0013000000
2015-08-17,EUR-EONIA,-0.0012200000
2015-08-18,EUR-EONIA,-0.0012600000
2015-08-19,EUR-EONIA,-0.0011900000
2015-08-20,EUR-EONIA,-0.0011800000
2015-08-21,EUR-EONIA,-0.0011900000
2015-08-24,EUR-EONIA,-0.0012600000
2015-08-25,EUR-EONIA,-0.0013500000
2015-08-26,EUR-EONIA,-0.0012900000
2015-08-27,EUR-EONIA,-0.0012700000
2015-08-28,EUR-EONIA,-0.0012600000
2015-08-31,EUR-EONIA,-0.0011000000
2015-09-01,EUR-EONIA,-0.0012500000
2015-09-02,EUR-EONIA,-0.0012500000
2015-09-03,EUR-EONIA,-0.0012400000
2015-09-04,EUR-EONIA,-0.0013300000
